"sujet","intAn"
"http://dbpedia.org/resource/Pedro_Nunes",1502
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans",1517
"http://dbpedia.org/resource/Hermann_Wilken",1522
"http://dbpedia.org/resource/Tycho_Brahe",1546
"http://dbpedia.org/resource/Simon_Stevin",1548
"http://dbpedia.org/resource/Andrea_Argoli",1570
"http://dbpedia.org/resource/Paul_Guldin",1577
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac",1581
"http://dbpedia.org/resource/Mario_Bettinus",1582
"http://dbpedia.org/resource/Kaspar_Uttenhofer",1588
"http://dbpedia.org/resource/Pierre_Bardin",1590
"http://dbpedia.org/resource/Ovidio_Montalbani",1601
"http://dbpedia.org/resource/Placidus_de_Titis",1603
"http://dbpedia.org/resource/Ismaël_Bullialdus",1605
"http://dbpedia.org/resource/Vincentio_Reinieri",1606
"http://dbpedia.org/resource/Honoré_Fabri",1608
"http://dbpedia.org/resource/Anthelme_Voituret",1618
"http://dbpedia.org/resource/Jean_Picard",1620
"http://dbpedia.org/resource/René-François_de_Sluse",1622
"http://dbpedia.org/resource/Jacques_Ozanam",1640
"http://dbpedia.org/resource/Thomas_Pereira",1645
"http://dbpedia.org/resource/Arthur_Storer",1645
"http://dbpedia.org/resource/George_Hadley",1685
"http://dbpedia.org/resource/Sámuel_Mikoviny",1686
"http://dbpedia.org/resource/Carlo_Lodoli",1690
"http://dbpedia.org/resource/Minggatu",1692
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani",1699
"http://dbpedia.org/resource/John_Goldie_(philosopher)",1717
"http://dbpedia.org/resource/Samuel_Dunn_(mathematician)",1723
"http://dbpedia.org/resource/Nehemiah_Strong",1729
"http://dbpedia.org/resource/Kosmas_Balanos",1731
"http://dbpedia.org/resource/Ajima_Naonobu",1732
"http://dbpedia.org/resource/David_Rittenhouse",1732
"http://dbpedia.org/resource/Johan_Wilcke",1732
"http://dbpedia.org/resource/Carsten_Niebuhr",1733
"http://dbpedia.org/resource/Hans_Momsen",1735
"http://dbpedia.org/resource/Gilbert_Romme",1750
"http://dbpedia.org/resource/Shizuki_Tadao",1760
"http://dbpedia.org/resource/Étienne-Gaspard_Robert",1763
"http://dbpedia.org/resource/Thomas_Norris_(1765–1852)",1765
"http://dbpedia.org/resource/Jacob_Perkins",1766
"http://dbpedia.org/resource/Francisco_José_de_Caldas",1768
"http://dbpedia.org/resource/William_Gooch_(astronomer)",1770
"http://dbpedia.org/resource/Joseph_Caldwell",1773
"http://dbpedia.org/resource/Karl_Mollweide",1774
"http://dbpedia.org/resource/Daniel_Cresswell",1776
"http://dbpedia.org/resource/Nicolas_Clément",1779
"http://dbpedia.org/resource/Jean_Charles_Athanase_Peltier",1785
"http://dbpedia.org/resource/Giovanni_Battista_Amici",1786
"http://dbpedia.org/resource/Thomas_Maclear",1794
"http://dbpedia.org/resource/Samuel_Charles_Whitbread",1796
"http://dbpedia.org/resource/Georg_Frederik_Ursin",1797
"http://dbpedia.org/resource/Adolf_Ferdinand_Wenceslaus_Brix",1798
"http://dbpedia.org/resource/Pierre_Frédéric_Sarrus",1798
"http://dbpedia.org/resource/Petrache_Poenaru",1799
"http://dbpedia.org/resource/Elizur_Wright",1804
"http://dbpedia.org/resource/Alexander_John_Ellis",1814
"http://dbpedia.org/resource/Karl_Kořistka",1825
"http://dbpedia.org/resource/Joseph_Winlock",1826
"http://dbpedia.org/resource/Morris_Birkbeck_Pell",1827
"http://dbpedia.org/resource/George_Minchin",1845
"http://dbpedia.org/resource/Ormond_Stone",1847
"http://dbpedia.org/resource/Judson_B._Coit",1849
"http://dbpedia.org/resource/Nicholas_Franklin_Roberts",1849
"http://dbpedia.org/resource/William_Benjamin_Smith",1850
"http://dbpedia.org/resource/Sophie_Bryant",1850
"http://dbpedia.org/resource/Bruno_Abakanowicz",1852
"http://dbpedia.org/resource/Francis_Robbins_Upton",1852
"http://dbpedia.org/resource/Temistocle_Calzecchi-Onesti",1853
"http://dbpedia.org/resource/Théodore_Reinach",1860
"http://dbpedia.org/resource/Ivar_Otto_Bendixson",1861
"http://dbpedia.org/resource/Thomas_Heath_(classicist)",1861
"http://dbpedia.org/resource/Kelly_Miller_(scientist)",1863
"http://dbpedia.org/resource/Domenico_Montesano",1863
"http://dbpedia.org/resource/Herbert_William_Richmond",1863
"http://dbpedia.org/resource/Vladimir_Varićak",1865
"http://dbpedia.org/resource/Charles_Proteus_Steinmetz",1865
"http://dbpedia.org/resource/Derrick_Norman_Lehmer",1867
"http://dbpedia.org/resource/Louis_Couturat",1868
"http://dbpedia.org/resource/Arthur_Korn",1870
"http://dbpedia.org/resource/Beatrice_Mabel_Cave-Browne-Cave",1874
"http://dbpedia.org/resource/Frances_Cave-Browne-Cave",1876
"http://dbpedia.org/resource/Ole_Michael_Ludvigsen_Selberg",1877
"http://dbpedia.org/resource/Anna_Cartan",1878
"http://dbpedia.org/resource/Agner_Krarup_Erlang",1878
"http://dbpedia.org/resource/Władysław_Dziewulski",1878
"http://dbpedia.org/resource/George_Nugent_Merle_Tyrrell",1879
"http://dbpedia.org/resource/Tadeusz_Banachiewicz",1882
"http://dbpedia.org/resource/Leo_Perutz",1882
"http://dbpedia.org/resource/Georges_Painvin",1886
"http://dbpedia.org/resource/Harald_Bohr",1887
"http://dbpedia.org/resource/William_Edward_Hodgson_Berwick",1888
"http://dbpedia.org/resource/William_Lloyd_Garrison_Williams",1888
"http://dbpedia.org/resource/Selig_Brodetsky",1888
"http://dbpedia.org/resource/René_Gateaux",1889
"http://dbpedia.org/resource/Fredrik_Lange-Nielsen",1891
"http://dbpedia.org/resource/Lester_S._Hill",1891
"http://dbpedia.org/resource/Warren_Weaver",1894
"http://dbpedia.org/resource/Geneviève_Guitel",1895
"http://dbpedia.org/resource/Hans_Ferdinand_Mayer",1895
"http://dbpedia.org/resource/Ion_Barbu",1895
"http://dbpedia.org/resource/E._J._G._Pitman",1897
"http://dbpedia.org/resource/Angelina_Cabras",1898
"http://dbpedia.org/resource/Otakar_Borůvka",1899
