,relation,periode,effectif
0,Argentina-Argentina,1451-1800,0
1,Argentina-Argentina,1801-1850,0
2,Argentina-Argentina,1851-1900,0
3,Argentina-Argentina,1901-1950,0
4,Argentina-Argentina,1951-2000,2
5,Argentina-Germany,1451-1800,0
6,Argentina-Germany,1801-1850,0
7,Argentina-Germany,1851-1900,0
8,Argentina-Germany,1901-1950,1
9,Argentina-Germany,1951-2000,0
10,Argentina-Puerto Rico,1451-1800,0
11,Argentina-Puerto Rico,1801-1850,0
12,Argentina-Puerto Rico,1851-1900,0
13,Argentina-Puerto Rico,1901-1950,1
14,Argentina-Puerto Rico,1951-2000,0
15,Argentina-United States of America,1451-1800,0
16,Argentina-United States of America,1801-1850,0
17,Argentina-United States of America,1851-1900,0
18,Argentina-United States of America,1901-1950,3
19,Argentina-United States of America,1951-2000,1
20,Australia-Australia,1451-1800,0
21,Australia-Australia,1801-1850,0
22,Australia-Australia,1851-1900,0
23,Australia-Australia,1901-1950,2
24,Australia-Australia,1951-2000,2
25,Australia-New Zealand,1451-1800,0
26,Australia-New Zealand,1801-1850,0
27,Australia-New Zealand,1851-1900,0
28,Australia-New Zealand,1901-1950,1
29,Australia-New Zealand,1951-2000,0
30,Australia-United Kingdom,1451-1800,0
31,Australia-United Kingdom,1801-1850,0
32,Australia-United Kingdom,1851-1900,0
33,Australia-United Kingdom,1901-1950,8
34,Australia-United Kingdom,1951-2000,2
35,Australia-United States of America,1451-1800,0
36,Australia-United States of America,1801-1850,0
37,Australia-United States of America,1851-1900,0
38,Australia-United States of America,1901-1950,1
39,Australia-United States of America,1951-2000,0
40,Austria-Austria,1451-1800,2
41,Austria-Austria,1801-1850,1
42,Austria-Austria,1851-1900,6
43,Austria-Austria,1901-1950,2
44,Austria-Austria,1951-2000,0
45,Austria-France,1451-1800,0
46,Austria-France,1801-1850,0
47,Austria-France,1851-1900,0
48,Austria-France,1901-1950,0
49,Austria-France,1951-2000,1
50,Austria-Germany,1451-1800,0
51,Austria-Germany,1801-1850,0
52,Austria-Germany,1851-1900,0
53,Austria-Germany,1901-1950,0
54,Austria-Germany,1951-2000,2
55,Austria-Poland,1451-1800,0
56,Austria-Poland,1801-1850,1
57,Austria-Poland,1851-1900,0
58,Austria-Poland,1901-1950,0
59,Austria-Poland,1951-2000,0
60,Austria-United Kingdom,1451-1800,0
61,Austria-United Kingdom,1801-1850,0
62,Austria-United Kingdom,1851-1900,0
63,Austria-United Kingdom,1901-1950,0
64,Austria-United Kingdom,1951-2000,2
65,Austria-United States of America,1451-1800,0
66,Austria-United States of America,1801-1850,0
67,Austria-United States of America,1851-1900,1
68,Austria-United States of America,1901-1950,0
69,Austria-United States of America,1951-2000,0
70,Bangladesh-Canada,1451-1800,0
71,Bangladesh-Canada,1801-1850,0
72,Bangladesh-Canada,1851-1900,0
73,Bangladesh-Canada,1901-1950,3
74,Bangladesh-Canada,1951-2000,0
75,Bangladesh-United States of America,1451-1800,0
76,Bangladesh-United States of America,1801-1850,0
77,Bangladesh-United States of America,1851-1900,0
78,Bangladesh-United States of America,1901-1950,1
79,Bangladesh-United States of America,1951-2000,0
80,Belgium-Belgium,1451-1800,0
81,Belgium-Belgium,1801-1850,0
82,Belgium-Belgium,1851-1900,0
83,Belgium-Belgium,1901-1950,1
84,Belgium-Belgium,1951-2000,0
85,Belgium-Germany,1451-1800,0
86,Belgium-Germany,1801-1850,0
87,Belgium-Germany,1851-1900,0
88,Belgium-Germany,1901-1950,0
89,Belgium-Germany,1951-2000,2
90,Belgium-Iran,1451-1800,0
91,Belgium-Iran,1801-1850,0
92,Belgium-Iran,1851-1900,0
93,Belgium-Iran,1901-1950,1
94,Belgium-Iran,1951-2000,0
95,Belgium-United Kingdom,1451-1800,0
96,Belgium-United Kingdom,1801-1850,0
97,Belgium-United Kingdom,1851-1900,0
98,Belgium-United Kingdom,1901-1950,0
99,Belgium-United Kingdom,1951-2000,1
100,Belgium-United States of America,1451-1800,0
101,Belgium-United States of America,1801-1850,0
102,Belgium-United States of America,1851-1900,0
103,Belgium-United States of America,1901-1950,1
104,Belgium-United States of America,1951-2000,0
105,Brazil-Belgium,1451-1800,0
106,Brazil-Belgium,1801-1850,0
107,Brazil-Belgium,1851-1900,0
108,Brazil-Belgium,1901-1950,0
109,Brazil-Belgium,1951-2000,1
110,Brazil-Brazil,1451-1800,0
111,Brazil-Brazil,1801-1850,0
112,Brazil-Brazil,1851-1900,0
113,Brazil-Brazil,1901-1950,1
114,Brazil-Brazil,1951-2000,0
115,Brazil-Peru,1451-1800,0
116,Brazil-Peru,1801-1850,0
117,Brazil-Peru,1851-1900,0
118,Brazil-Peru,1901-1950,2
119,Brazil-Peru,1951-2000,0
120,Brazil-Portugal,1451-1800,0
121,Brazil-Portugal,1801-1850,0
122,Brazil-Portugal,1851-1900,0
123,Brazil-Portugal,1901-1950,0
124,Brazil-Portugal,1951-2000,2
125,Brazil-South Africa,1451-1800,0
126,Brazil-South Africa,1801-1850,0
127,Brazil-South Africa,1851-1900,0
128,Brazil-South Africa,1901-1950,1
129,Brazil-South Africa,1951-2000,0
130,Brazil-United Kingdom,1451-1800,0
131,Brazil-United Kingdom,1801-1850,0
132,Brazil-United Kingdom,1851-1900,0
133,Brazil-United Kingdom,1901-1950,1
134,Brazil-United Kingdom,1951-2000,1
135,Brazil-United States of America,1451-1800,0
136,Brazil-United States of America,1801-1850,0
137,Brazil-United States of America,1851-1900,0
138,Brazil-United States of America,1901-1950,5
139,Brazil-United States of America,1951-2000,2
140,Bulgaria-France,1451-1800,0
141,Bulgaria-France,1801-1850,0
142,Bulgaria-France,1851-1900,0
143,Bulgaria-France,1901-1950,2
144,Bulgaria-France,1951-2000,0
145,Canada-Australia,1451-1800,0
146,Canada-Australia,1801-1850,0
147,Canada-Australia,1851-1900,0
148,Canada-Australia,1901-1950,2
149,Canada-Australia,1951-2000,0
150,Canada-Brazil,1451-1800,0
151,Canada-Brazil,1801-1850,0
152,Canada-Brazil,1851-1900,0
153,Canada-Brazil,1901-1950,1
154,Canada-Brazil,1951-2000,0
155,Canada-Canada,1451-1800,0
156,Canada-Canada,1801-1850,0
157,Canada-Canada,1851-1900,0
158,Canada-Canada,1901-1950,15
159,Canada-Canada,1951-2000,10
160,Canada-Japan,1451-1800,0
161,Canada-Japan,1801-1850,0
162,Canada-Japan,1851-1900,0
163,Canada-Japan,1901-1950,1
164,Canada-Japan,1951-2000,0
165,Canada-New Zealand,1451-1800,0
166,Canada-New Zealand,1801-1850,0
167,Canada-New Zealand,1851-1900,0
168,Canada-New Zealand,1901-1950,2
169,Canada-New Zealand,1951-2000,0
170,Canada-United Kingdom,1451-1800,0
171,Canada-United Kingdom,1801-1850,0
172,Canada-United Kingdom,1851-1900,0
173,Canada-United Kingdom,1901-1950,0
174,Canada-United Kingdom,1951-2000,3
175,Canada-United States of America,1451-1800,0
176,Canada-United States of America,1801-1850,0
177,Canada-United States of America,1851-1900,1
178,Canada-United States of America,1901-1950,10
179,Canada-United States of America,1951-2000,6
180,China-Canada,1451-1800,0
181,China-Canada,1801-1850,0
182,China-Canada,1851-1900,0
183,China-Canada,1901-1950,0
184,China-Canada,1951-2000,3
185,China-China,1451-1800,0
186,China-China,1801-1850,0
187,China-China,1851-1900,0
188,China-China,1901-1950,4
189,China-China,1951-2000,3
190,China-France,1451-1800,0
191,China-France,1801-1850,0
192,China-France,1851-1900,0
193,China-France,1901-1950,1
194,China-France,1951-2000,0
195,China-Germany,1451-1800,0
196,China-Germany,1801-1850,0
197,China-Germany,1851-1900,0
198,China-Germany,1901-1950,1
199,China-Germany,1951-2000,0
200,China-United Kingdom,1451-1800,0
201,China-United Kingdom,1801-1850,0
202,China-United Kingdom,1851-1900,0
203,China-United Kingdom,1901-1950,0
204,China-United Kingdom,1951-2000,1
205,China-United States of America,1451-1800,0
206,China-United States of America,1801-1850,0
207,China-United States of America,1851-1900,0
208,China-United States of America,1901-1950,3
209,China-United States of America,1951-2000,8
210,Colombia-France,1451-1800,0
211,Colombia-France,1801-1850,0
212,Colombia-France,1851-1900,0
213,Colombia-France,1901-1950,0
214,Colombia-France,1951-2000,1
215,Colombia-United States of America,1451-1800,0
216,Colombia-United States of America,1801-1850,0
217,Colombia-United States of America,1851-1900,0
218,Colombia-United States of America,1901-1950,0
219,Colombia-United States of America,1951-2000,1
220,Czechia-Austria,1451-1800,1
221,Czechia-Austria,1801-1850,0
222,Czechia-Austria,1851-1900,0
223,Czechia-Austria,1901-1950,0
224,Czechia-Austria,1951-2000,0
225,Czechia-Poland,1451-1800,1
226,Czechia-Poland,1801-1850,0
227,Czechia-Poland,1851-1900,0
228,Czechia-Poland,1901-1950,0
229,Czechia-Poland,1951-2000,0
230,Czechia-Switzerland,1451-1800,0
231,Czechia-Switzerland,1801-1850,0
232,Czechia-Switzerland,1851-1900,0
233,Czechia-Switzerland,1901-1950,0
234,Czechia-Switzerland,1951-2000,2
235,Czechia-United States of America,1451-1800,0
236,Czechia-United States of America,1801-1850,0
237,Czechia-United States of America,1851-1900,0
238,Czechia-United States of America,1901-1950,4
239,Czechia-United States of America,1951-2000,0
240,Denmark-Croatia,1451-1800,0
241,Denmark-Croatia,1801-1850,0
242,Denmark-Croatia,1851-1900,0
243,Denmark-Croatia,1901-1950,1
244,Denmark-Croatia,1951-2000,0
245,Denmark-Germany,1451-1800,0
246,Denmark-Germany,1801-1850,0
247,Denmark-Germany,1851-1900,0
248,Denmark-Germany,1901-1950,1
249,Denmark-Germany,1951-2000,0
250,Denmark-Norway,1451-1800,0
251,Denmark-Norway,1801-1850,0
252,Denmark-Norway,1851-1900,2
253,Denmark-Norway,1901-1950,0
254,Denmark-Norway,1951-2000,0
255,Denmark-United Kingdom,1451-1800,0
256,Denmark-United Kingdom,1801-1850,0
257,Denmark-United Kingdom,1851-1900,0
258,Denmark-United Kingdom,1901-1950,1
259,Denmark-United Kingdom,1951-2000,0
260,Denmark-United States of America,1451-1800,0
261,Denmark-United States of America,1801-1850,0
262,Denmark-United States of America,1851-1900,0
263,Denmark-United States of America,1901-1950,1
264,Denmark-United States of America,1951-2000,0
265,Egypt-Germany,1451-1800,0
266,Egypt-Germany,1801-1850,0
267,Egypt-Germany,1851-1900,1
268,Egypt-Germany,1901-1950,0
269,Egypt-Germany,1951-2000,0
270,Egypt-India,1451-1800,0
271,Egypt-India,1801-1850,0
272,Egypt-India,1851-1900,2
273,Egypt-India,1901-1950,0
274,Egypt-India,1951-2000,0
275,Egypt-Italy,1451-1800,0
276,Egypt-Italy,1801-1850,0
277,Egypt-Italy,1851-1900,2
278,Egypt-Italy,1901-1950,0
279,Egypt-Italy,1951-2000,0
280,Egypt-United Kingdom,1451-1800,0
281,Egypt-United Kingdom,1801-1850,0
282,Egypt-United Kingdom,1851-1900,3
283,Egypt-United Kingdom,1901-1950,0
284,Egypt-United Kingdom,1951-2000,0
285,Estonia-Estonia,1451-1800,0
286,Estonia-Estonia,1801-1850,1
287,Estonia-Estonia,1851-1900,0
288,Estonia-Estonia,1901-1950,0
289,Estonia-Estonia,1951-2000,0
290,Finland-Finland,1451-1800,0
291,Finland-Finland,1801-1850,0
292,Finland-Finland,1851-1900,1
293,Finland-Finland,1901-1950,0
294,Finland-Finland,1951-2000,0
295,France-Belgium,1451-1800,0
296,France-Belgium,1801-1850,0
297,France-Belgium,1851-1900,0
298,France-Belgium,1901-1950,2
299,France-Belgium,1951-2000,0
300,France-Canada,1451-1800,0
301,France-Canada,1801-1850,0
302,France-Canada,1851-1900,0
303,France-Canada,1901-1950,0
304,France-Canada,1951-2000,1
305,France-France,1451-1800,0
306,France-France,1801-1850,0
307,France-France,1851-1900,1
308,France-France,1901-1950,10
309,France-France,1951-2000,4
310,France-Germany,1451-1800,0
311,France-Germany,1801-1850,0
312,France-Germany,1851-1900,0
313,France-Germany,1901-1950,1
314,France-Germany,1951-2000,1
315,France-Netherlands,1451-1800,0
316,France-Netherlands,1801-1850,0
317,France-Netherlands,1851-1900,0
318,France-Netherlands,1901-1950,0
319,France-Netherlands,1951-2000,1
320,France-Romania,1451-1800,0
321,France-Romania,1801-1850,0
322,France-Romania,1851-1900,0
323,France-Romania,1901-1950,4
324,France-Romania,1951-2000,0
325,France-Switzerland,1451-1800,0
326,France-Switzerland,1801-1850,0
327,France-Switzerland,1851-1900,0
328,France-Switzerland,1901-1950,0
329,France-Switzerland,1951-2000,2
330,France-United Kingdom,1451-1800,0
331,France-United Kingdom,1801-1850,0
332,France-United Kingdom,1851-1900,0
333,France-United Kingdom,1901-1950,1
334,France-United Kingdom,1951-2000,6
335,France-United States of America,1451-1800,0
336,France-United States of America,1801-1850,0
337,France-United States of America,1851-1900,1
338,France-United States of America,1901-1950,8
339,France-United States of America,1951-2000,9
340,Georgia-Germany,1451-1800,0
341,Georgia-Germany,1801-1850,0
342,Georgia-Germany,1851-1900,1
343,Georgia-Germany,1901-1950,0
344,Georgia-Germany,1951-2000,0
345,Germany-Australia,1451-1800,0
346,Germany-Australia,1801-1850,0
347,Germany-Australia,1851-1900,0
348,Germany-Australia,1901-1950,1
349,Germany-Australia,1951-2000,0
350,Germany-Austria,1451-1800,0
351,Germany-Austria,1801-1850,1
352,Germany-Austria,1851-1900,8
353,Germany-Austria,1901-1950,0
354,Germany-Austria,1951-2000,0
355,Germany-Belgium,1451-1800,0
356,Germany-Belgium,1801-1850,0
357,Germany-Belgium,1851-1900,0
358,Germany-Belgium,1901-1950,1
359,Germany-Belgium,1951-2000,0
360,Germany-Canada,1451-1800,0
361,Germany-Canada,1801-1850,0
362,Germany-Canada,1851-1900,0
363,Germany-Canada,1901-1950,2
364,Germany-Canada,1951-2000,0
365,Germany-Croatia,1451-1800,0
366,Germany-Croatia,1801-1850,0
367,Germany-Croatia,1851-1900,0
368,Germany-Croatia,1901-1950,1
369,Germany-Croatia,1951-2000,0
370,Germany-France,1451-1800,0
371,Germany-France,1801-1850,1
372,Germany-France,1851-1900,0
373,Germany-France,1901-1950,0
374,Germany-France,1951-2000,2
375,Germany-Germany,1451-1800,3
376,Germany-Germany,1801-1850,11
377,Germany-Germany,1851-1900,30
378,Germany-Germany,1901-1950,36
379,Germany-Germany,1951-2000,9
380,Germany-Hungary,1451-1800,0
381,Germany-Hungary,1801-1850,0
382,Germany-Hungary,1851-1900,0
383,Germany-Hungary,1901-1950,1
384,Germany-Hungary,1951-2000,0
385,Germany-Italy,1451-1800,0
386,Germany-Italy,1801-1850,0
387,Germany-Italy,1851-1900,0
388,Germany-Italy,1901-1950,1
389,Germany-Italy,1951-2000,0
390,Germany-Norway,1451-1800,0
391,Germany-Norway,1801-1850,0
392,Germany-Norway,1851-1900,0
393,Germany-Norway,1901-1950,3
394,Germany-Norway,1951-2000,0
395,Germany-Poland,1451-1800,0
396,Germany-Poland,1801-1850,0
397,Germany-Poland,1851-1900,1
398,Germany-Poland,1901-1950,0
399,Germany-Poland,1951-2000,0
400,Germany-Romania,1451-1800,0
401,Germany-Romania,1801-1850,0
402,Germany-Romania,1851-1900,0
403,Germany-Romania,1901-1950,0
404,Germany-Romania,1951-2000,1
405,Germany-Russia,1451-1800,0
406,Germany-Russia,1801-1850,1
407,Germany-Russia,1851-1900,0
408,Germany-Russia,1901-1950,7
409,Germany-Russia,1951-2000,0
410,Germany-Switzerland,1451-1800,0
411,Germany-Switzerland,1801-1850,0
412,Germany-Switzerland,1851-1900,1
413,Germany-Switzerland,1901-1950,1
414,Germany-Switzerland,1951-2000,0
415,Germany-United Kingdom,1451-1800,0
416,Germany-United Kingdom,1801-1850,0
417,Germany-United Kingdom,1851-1900,0
418,Germany-United Kingdom,1901-1950,3
419,Germany-United Kingdom,1951-2000,3
420,Germany-United States of America,1451-1800,0
421,Germany-United States of America,1801-1850,0
422,Germany-United States of America,1851-1900,3
423,Germany-United States of America,1901-1950,7
424,Germany-United States of America,1951-2000,2
425,Greece-United States of America,1451-1800,0
426,Greece-United States of America,1801-1850,0
427,Greece-United States of America,1851-1900,0
428,Greece-United States of America,1901-1950,1
429,Greece-United States of America,1951-2000,0
430,Hungary-Austria,1451-1800,1
431,Hungary-Austria,1801-1850,0
432,Hungary-Austria,1851-1900,0
433,Hungary-Austria,1901-1950,0
434,Hungary-Austria,1951-2000,0
435,Hungary-Canada,1451-1800,0
436,Hungary-Canada,1801-1850,0
437,Hungary-Canada,1851-1900,0
438,Hungary-Canada,1901-1950,0
439,Hungary-Canada,1951-2000,1
440,Hungary-Czechia,1451-1800,1
441,Hungary-Czechia,1801-1850,0
442,Hungary-Czechia,1851-1900,0
443,Hungary-Czechia,1901-1950,0
444,Hungary-Czechia,1951-2000,0
445,Hungary-Germany,1451-1800,0
446,Hungary-Germany,1801-1850,0
447,Hungary-Germany,1851-1900,1
448,Hungary-Germany,1901-1950,1
449,Hungary-Germany,1951-2000,0
450,Hungary-Hungary,1451-1800,0
451,Hungary-Hungary,1801-1850,0
452,Hungary-Hungary,1851-1900,0
453,Hungary-Hungary,1901-1950,5
454,Hungary-Hungary,1951-2000,1
455,Hungary-Israel,1451-1800,0
456,Hungary-Israel,1801-1850,0
457,Hungary-Israel,1851-1900,0
458,Hungary-Israel,1901-1950,1
459,Hungary-Israel,1951-2000,0
460,Hungary-Palestine,1451-1800,0
461,Hungary-Palestine,1801-1850,0
462,Hungary-Palestine,1851-1900,0
463,Hungary-Palestine,1901-1950,1
464,Hungary-Palestine,1951-2000,0
465,Hungary-Poland,1451-1800,1
466,Hungary-Poland,1801-1850,0
467,Hungary-Poland,1851-1900,0
468,Hungary-Poland,1901-1950,0
469,Hungary-Poland,1951-2000,0
470,Hungary-United Kingdom,1451-1800,0
471,Hungary-United Kingdom,1801-1850,0
472,Hungary-United Kingdom,1851-1900,0
473,Hungary-United Kingdom,1901-1950,5
474,Hungary-United Kingdom,1951-2000,0
475,Hungary-United States of America,1451-1800,0
476,Hungary-United States of America,1801-1850,0
477,Hungary-United States of America,1851-1900,1
478,Hungary-United States of America,1901-1950,12
479,Hungary-United States of America,1951-2000,4
480,India-Germany,1451-1800,0
481,India-Germany,1801-1850,0
482,India-Germany,1851-1900,4
483,India-Germany,1901-1950,0
484,India-Germany,1951-2000,0
485,India-India,1451-1800,0
486,India-India,1801-1850,0
487,India-India,1851-1900,3
488,India-India,1901-1950,3
489,India-India,1951-2000,0
490,India-Italy,1451-1800,0
491,India-Italy,1801-1850,0
492,India-Italy,1851-1900,4
493,India-Italy,1901-1950,0
494,India-Italy,1951-2000,0
495,India-United Kingdom,1451-1800,0
496,India-United Kingdom,1801-1850,0
497,India-United Kingdom,1851-1900,9
498,India-United Kingdom,1901-1950,1
499,India-United Kingdom,1951-2000,0
500,India-United States of America,1451-1800,0
501,India-United States of America,1801-1850,0
502,India-United States of America,1851-1900,0
503,India-United States of America,1901-1950,1
504,India-United States of America,1951-2000,0
505,Ireland-Germany,1451-1800,0
506,Ireland-Germany,1801-1850,0
507,Ireland-Germany,1851-1900,1
508,Ireland-Germany,1901-1950,0
509,Ireland-Germany,1951-2000,0
510,Ireland-United States of America,1451-1800,0
511,Ireland-United States of America,1801-1850,0
512,Ireland-United States of America,1851-1900,1
513,Ireland-United States of America,1901-1950,0
514,Ireland-United States of America,1951-2000,0
515,Israel-Israel,1451-1800,0
516,Israel-Israel,1801-1850,0
517,Israel-Israel,1851-1900,0
518,Israel-Israel,1901-1950,2
519,Israel-Israel,1951-2000,0
520,Israel-Palestine,1451-1800,0
521,Israel-Palestine,1801-1850,0
522,Israel-Palestine,1851-1900,0
523,Israel-Palestine,1901-1950,2
524,Israel-Palestine,1951-2000,0
525,Israel-United Kingdom,1451-1800,0
526,Israel-United Kingdom,1801-1850,0
527,Israel-United Kingdom,1851-1900,0
528,Israel-United Kingdom,1901-1950,1
529,Israel-United Kingdom,1951-2000,1
530,Israel-United States of America,1451-1800,0
531,Israel-United States of America,1801-1850,0
532,Israel-United States of America,1851-1900,0
533,Israel-United States of America,1901-1950,4
534,Israel-United States of America,1951-2000,2
535,Italy-Australia,1451-1800,0
536,Italy-Australia,1801-1850,0
537,Italy-Australia,1851-1900,0
538,Italy-Australia,1901-1950,1
539,Italy-Australia,1951-2000,0
540,Italy-Brazil,1451-1800,0
541,Italy-Brazil,1801-1850,0
542,Italy-Brazil,1851-1900,0
543,Italy-Brazil,1901-1950,4
544,Italy-Brazil,1951-2000,1
545,Italy-Germany,1451-1800,0
546,Italy-Germany,1801-1850,0
547,Italy-Germany,1851-1900,2
548,Italy-Germany,1901-1950,0
549,Italy-Germany,1951-2000,0
550,Italy-Italy,1451-1800,4
551,Italy-Italy,1801-1850,11
552,Italy-Italy,1851-1900,45
553,Italy-Italy,1901-1950,11
554,Italy-Italy,1951-2000,0
555,Italy-Pakistan,1451-1800,0
556,Italy-Pakistan,1801-1850,0
557,Italy-Pakistan,1851-1900,0
558,Italy-Pakistan,1901-1950,1
559,Italy-Pakistan,1951-2000,0
560,Italy-Romania,1451-1800,0
561,Italy-Romania,1801-1850,0
562,Italy-Romania,1851-1900,1
563,Italy-Romania,1901-1950,2
564,Italy-Romania,1951-2000,0
565,Italy-Saudi Arabia,1451-1800,0
566,Italy-Saudi Arabia,1801-1850,0
567,Italy-Saudi Arabia,1851-1900,0
568,Italy-Saudi Arabia,1901-1950,1
569,Italy-Saudi Arabia,1951-2000,0
570,Italy-United Kingdom,1451-1800,0
571,Italy-United Kingdom,1801-1850,0
572,Italy-United Kingdom,1851-1900,0
573,Italy-United Kingdom,1901-1950,1
574,Italy-United Kingdom,1951-2000,0
575,Italy-United States of America,1451-1800,0
576,Italy-United States of America,1801-1850,0
577,Italy-United States of America,1851-1900,0
578,Italy-United States of America,1901-1950,1
579,Italy-United States of America,1951-2000,0
580,Japan-Canada,1451-1800,0
581,Japan-Canada,1801-1850,0
582,Japan-Canada,1851-1900,0
583,Japan-Canada,1901-1950,1
584,Japan-Canada,1951-2000,0
585,Japan-Japan,1451-1800,0
586,Japan-Japan,1801-1850,0
587,Japan-Japan,1851-1900,0
588,Japan-Japan,1901-1950,23
589,Japan-Japan,1951-2000,4
590,Japan-United States of America,1451-1800,0
591,Japan-United States of America,1801-1850,0
592,Japan-United States of America,1851-1900,0
593,Japan-United States of America,1901-1950,7
594,Japan-United States of America,1951-2000,1
595,Malaysia-Canada,1451-1800,0
596,Malaysia-Canada,1801-1850,0
597,Malaysia-Canada,1851-1900,0
598,Malaysia-Canada,1901-1950,1
599,Malaysia-Canada,1951-2000,0
600,Mexico-France,1451-1800,0
601,Mexico-France,1801-1850,0
602,Mexico-France,1851-1900,1
603,Mexico-France,1901-1950,0
604,Mexico-France,1951-2000,0
605,Mexico-United States of America,1451-1800,0
606,Mexico-United States of America,1801-1850,0
607,Mexico-United States of America,1851-1900,2
608,Mexico-United States of America,1901-1950,0
609,Mexico-United States of America,1951-2000,0
610,Moldova-Russia,1451-1800,0
611,Moldova-Russia,1801-1850,0
612,Moldova-Russia,1851-1900,0
613,Moldova-Russia,1901-1950,1
614,Moldova-Russia,1951-2000,0
615,Netherlands-Austria,1451-1800,0
616,Netherlands-Austria,1801-1850,0
617,Netherlands-Austria,1851-1900,1
618,Netherlands-Austria,1901-1950,0
619,Netherlands-Austria,1951-2000,0
620,Netherlands-Germany,1451-1800,0
621,Netherlands-Germany,1801-1850,0
622,Netherlands-Germany,1851-1900,0
623,Netherlands-Germany,1901-1950,2
624,Netherlands-Germany,1951-2000,1
625,Netherlands-Netherlands,1451-1800,0
626,Netherlands-Netherlands,1801-1850,0
627,Netherlands-Netherlands,1851-1900,1
628,Netherlands-Netherlands,1901-1950,15
629,Netherlands-Netherlands,1951-2000,1
630,Netherlands-Poland,1451-1800,0
631,Netherlands-Poland,1801-1850,0
632,Netherlands-Poland,1851-1900,0
633,Netherlands-Poland,1901-1950,2
634,Netherlands-Poland,1951-2000,0
635,Netherlands-Switzerland,1451-1800,0
636,Netherlands-Switzerland,1801-1850,0
637,Netherlands-Switzerland,1851-1900,1
638,Netherlands-Switzerland,1901-1950,2
639,Netherlands-Switzerland,1951-2000,0
640,Netherlands-United Kingdom,1451-1800,0
641,Netherlands-United Kingdom,1801-1850,0
642,Netherlands-United Kingdom,1851-1900,0
643,Netherlands-United Kingdom,1901-1950,4
644,Netherlands-United Kingdom,1951-2000,0
645,Netherlands-United States of America,1451-1800,0
646,Netherlands-United States of America,1801-1850,0
647,Netherlands-United States of America,1851-1900,1
648,Netherlands-United States of America,1901-1950,5
649,Netherlands-United States of America,1951-2000,2
650,New Zealand-New Zealand,1451-1800,0
651,New Zealand-New Zealand,1801-1850,0
652,New Zealand-New Zealand,1851-1900,0
653,New Zealand-New Zealand,1901-1950,2
654,New Zealand-New Zealand,1951-2000,1
655,New Zealand-United Kingdom,1451-1800,0
656,New Zealand-United Kingdom,1801-1850,0
657,New Zealand-United Kingdom,1851-1900,0
658,New Zealand-United Kingdom,1901-1950,2
659,New Zealand-United Kingdom,1951-2000,1
660,New Zealand-United States of America,1451-1800,0
