"s","birthYear"
"http://dbpedia.org/resource/Jehan_Adam",0015-01-01
"http://dbpedia.org/resource/Taleb_Amoli",0016-01-01
"http://dbpedia.org/resource/Khalida_Inayat_Noor",0019-01-01
"http://dbpedia.org/resource/Liu_Hui",0225-01-01
"http://dbpedia.org/resource/Catherine_of_Alexandria",0287-01-01
"http://dbpedia.org/resource/Arcesilaus",0316-01-01
"http://dbpedia.org/resource/Hypatia",0350-01-01
"http://dbpedia.org/resource/Archytas",0435-01-01
"http://dbpedia.org/resource/Bhāskara_I",0600-01-01
"http://dbpedia.org/resource/Anania_Shirakatsi",0610-01-01
"http://dbpedia.org/resource/Haridatta",0650-01-01
"http://dbpedia.org/resource/Mashallah_ibn_Athari",0740-01-01
"http://dbpedia.org/resource/Al-Kindi",0801-01-01
"http://dbpedia.org/resource/Ibrahim_ibn_Sinan",0908-01-01
"http://dbpedia.org/resource/Maslama_al-Majriti",0950-01-01
"http://dbpedia.org/resource/Al-Karaji",0953-01-01
"http://dbpedia.org/resource/Herman_of_Carinthia",1100-01-01
"http://dbpedia.org/resource/Sharaf_al-Din_al-Tusi__Sharaf_al-Dīn_al-Ṭūsī__1",1135-01-01
"http://dbpedia.org/resource/Campanus_of_Novara",1220-01-01
"http://dbpedia.org/resource/Zhao_Youqin",1271-01-01
"http://dbpedia.org/resource/Gersonides",1288-01-01
"http://dbpedia.org/resource/Ibn_al-Shatir",1304-01-01
"http://dbpedia.org/resource/Albert_of_Saxony_(philosopher)",1320-01-01
"http://dbpedia.org/resource/Madhava_of_Sangamagrama",1340-01-01
"http://dbpedia.org/resource/Ibn_al-Majdi",1359-01-01
"http://dbpedia.org/resource/Parameshvara_Nambudiri",1380-01-01
"http://dbpedia.org/resource/Mark_of_Ephesus",1392-01-01
"http://dbpedia.org/resource/Sibt_al-Maridini",1423-01-01
"http://dbpedia.org/resource/Nilakantha_Somayaji",1444-01-01
"http://dbpedia.org/resource/Luca_Pacioli",1447-01-01
"http://dbpedia.org/resource/Abraham_Zacuto",1452-01-01
"http://dbpedia.org/resource/Estienne_de_La_Roche",1470-01-01
"http://dbpedia.org/resource/Nicholas_Kratzer",1487-01-01
"http://dbpedia.org/resource/Gianello_della_Torre",1500-01-01
"http://dbpedia.org/resource/Pedro_Nunes",1502-01-01
"http://dbpedia.org/resource/Justus_Velsius",1510-01-01
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans",1517-01-01
"http://dbpedia.org/resource/Girolamo_Ruscelli",1518-01-01
"http://dbpedia.org/resource/Hermann_Wilken",1522-01-01
"http://dbpedia.org/resource/Peter_Agricola",1525-01-01
"http://dbpedia.org/resource/David_Gans",1541-01-01
"http://dbpedia.org/resource/Simon_Stevin",1548-01-01
"http://dbpedia.org/resource/Andrea_Argoli",1570-01-01
"http://dbpedia.org/resource/Robert_Fludd",1574-01-01
"http://dbpedia.org/resource/Paul_Guldin",1577-01-01
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac",1581-01-01
"http://dbpedia.org/resource/Mario_Bettinus",1582-01-01
"http://dbpedia.org/resource/Ole_Worm",1588-01-01
"http://dbpedia.org/resource/Pierre_Bardin",1590-01-01
"http://dbpedia.org/resource/Pierre_Gassendi",1592-01-01
"http://dbpedia.org/resource/René_Descartes",1596-01-01
"http://dbpedia.org/resource/Ovidio_Montalbani",1601-01-01
"http://dbpedia.org/resource/Placidus_de_Titis",1603-01-01
"http://dbpedia.org/resource/Ismaël_Bullialdus",1605-01-01
"http://dbpedia.org/resource/Vincentio_Reinieri",1606-01-01
"http://dbpedia.org/resource/Lodovico_Buglio",1606-01-01
"http://dbpedia.org/resource/Honoré_Fabri",1608-01-01
"http://dbpedia.org/resource/René-François_de_Sluse",1622-01-01
"http://dbpedia.org/resource/Blaise_Pascal",1623-01-01
"http://dbpedia.org/resource/Ferdinand_Verbiest",1623-01-01
"http://dbpedia.org/resource/Samuel_von_Pufendorf",1632-01-01
"http://dbpedia.org/resource/Jacques_Ozanam",1640-01-01
"http://dbpedia.org/resource/Thomas_Pereira",1645-01-01
"http://dbpedia.org/resource/Eusebio_Kino",1645-01-01
"http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz",1646-01-01
"http://dbpedia.org/resource/Jacob_Roggeveen",1659-01-01
"http://dbpedia.org/resource/George_Cheyne_(physician)",1672-01-01
"http://dbpedia.org/resource/Eustachio_Manfredi",1674-01-01
"http://dbpedia.org/resource/Yves_Marie_André",1675-01-01
"http://dbpedia.org/resource/William_Jones_(mathematician)",1675-01-01
"http://dbpedia.org/resource/Gabriele_Manfredi",1681-01-01
"http://dbpedia.org/resource/Celia_Grillo_Borromeo",1684-01-01
"http://dbpedia.org/resource/Sámuel_Mikoviny",1686-01-01
"http://dbpedia.org/resource/Robert_Simson",1687-01-01
"http://dbpedia.org/resource/Carlo_Lodoli",1690-01-01
"http://dbpedia.org/resource/Minggatu",1692-01-01
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani",1699-01-01
"http://dbpedia.org/resource/Charles_Marie_de_La_Condamine",1701-01-01
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado",1704-01-01
"http://dbpedia.org/resource/Thomas_Simpson",1710-01-01
"http://dbpedia.org/resource/Claude_Adrien_Helvétius",1715-01-01
"http://dbpedia.org/resource/John_Goldie_(philosopher)",1717-01-01
"http://dbpedia.org/resource/Samuel_Dunn_(mathematician)",1723-01-01
"http://dbpedia.org/resource/Benjamin_Banneker",1731-01-01
"http://dbpedia.org/resource/Kosmas_Balanos",1731-01-01
"http://dbpedia.org/resource/Ajima_Naonobu",1732-01-01
"http://dbpedia.org/resource/Carsten_Niebuhr",1733-01-01
"http://dbpedia.org/resource/Johann_Euler",1734-01-01
"http://dbpedia.org/resource/Hans_Momsen",1735-01-01
"http://dbpedia.org/resource/Antonio_Ludeña",1740-01-01
"http://dbpedia.org/resource/Konstantinos_Tzechanis",1740-01-01
"http://dbpedia.org/resource/Gilbert_Romme",1750-01-01
"http://dbpedia.org/resource/Eusebio_Valli",1755-01-01
"http://dbpedia.org/resource/Jan_Śniadecki",1756-01-01
"http://dbpedia.org/resource/Christian_Kramp",1760-01-01
"http://dbpedia.org/resource/Blasius_Merrem",1761-01-01
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi",1764-01-01
"http://dbpedia.org/resource/François-Joseph_Servois",1767-01-01
"http://dbpedia.org/resource/Francisco_José_de_Caldas",1768-01-01
"http://dbpedia.org/resource/John_William_Norie",1772-01-01
"http://dbpedia.org/resource/Joseph_Caldwell",1773-01-01
"http://dbpedia.org/resource/Jakob_Friedrich_Fries",1773-01-01
"http://dbpedia.org/resource/Nathaniel_Bowditch",1773-01-01
"http://dbpedia.org/resource/Karl_Mollweide",1774-01-01
"http://dbpedia.org/resource/Olinthus_Gregory",1774-01-01
"http://dbpedia.org/resource/Daniel_Cresswell",1776-01-01
"http://dbpedia.org/resource/Józef_Maria_Hoene-Wroński",1776-01-01
"http://dbpedia.org/resource/Bernard_Bolzano",1781-01-01
"http://dbpedia.org/resource/Samuel_Hunter_Christie",1784-01-01
"http://dbpedia.org/resource/Björn_Gunnlaugsson",1788-01-01
"http://dbpedia.org/resource/Prosper_de_Mestre",1789-01-01
"http://dbpedia.org/resource/Theodore_Strong",1790-01-01
"http://dbpedia.org/resource/Micajah_Burnett",1791-01-01
"http://dbpedia.org/resource/Myrtil_Maas",1792-01-01
"http://dbpedia.org/resource/Just_Mathias_Thiele",1795-01-01
"http://dbpedia.org/resource/Georg_Frederik_Ursin",1797-01-01
"http://dbpedia.org/resource/Étienne_Bobillier",1798-01-01
"http://dbpedia.org/resource/Adolf_Ferdinand_Wenceslaus_Brix",1798-01-01
"http://dbpedia.org/resource/Pierre_Frédéric_Sarrus",1798-01-01
"http://dbpedia.org/resource/Petrache_Poenaru",1799-01-01
"http://dbpedia.org/resource/Mary_Ann_Black",1801-01-01
"http://dbpedia.org/resource/Guglielmo_Libri_Carucci_dalla_Sommaja",1803-01-01
"http://dbpedia.org/resource/Elizur_Wright",1804-01-01
"http://dbpedia.org/resource/Thomas_Kirkman",1806-01-01
"http://dbpedia.org/resource/Benjamin_Peirce",1809-01-01
"http://dbpedia.org/resource/Frédéric_Ozanam",1813-01-01
"http://dbpedia.org/resource/Radhanath_Sikdar",1813-01-01
"http://dbpedia.org/resource/Carl_Johan_Malmsten",1814-01-01
"http://dbpedia.org/resource/Alexander_John_Ellis",1814-01-01
"http://dbpedia.org/resource/Herschell_Filipowski",1816-01-01
"http://dbpedia.org/resource/Charles_L._Reason",1818-01-01
"http://dbpedia.org/resource/Benjamin_Fillon",1819-01-01
"http://dbpedia.org/resource/George_Salmon",1819-01-01
"http://dbpedia.org/resource/Wawrzyniec_Żmurko",1824-01-01
"http://dbpedia.org/resource/Francesco_Faà_di_Bruno",1825-01-01
"http://dbpedia.org/resource/Karl_Kořistka",1825-01-01
"http://dbpedia.org/resource/Henry_Wilbraham",1825-01-01
"http://dbpedia.org/resource/Joseph_Winlock",1826-01-01
"http://dbpedia.org/resource/Morris_Birkbeck_Pell",1827-01-01
"http://dbpedia.org/resource/Alexander_Johnson_(mathematician)",1830-01-01
"http://dbpedia.org/resource/Edward_Jan_Habich",1835-01-01
"http://dbpedia.org/resource/Dimitrije_Nešić",1836-01-01
"http://dbpedia.org/resource/Josiah_Macy_Jr.",1837-01-01
"http://dbpedia.org/resource/Jenő_Hunyady",1838-01-01
"http://dbpedia.org/resource/George_Minchin",1845-01-01
"http://dbpedia.org/resource/Karol_Olszewski",1846-01-01
"http://dbpedia.org/resource/Ormond_Stone",1847-01-01
"http://dbpedia.org/resource/Nicholas_Franklin_Roberts",1849-01-01
"http://dbpedia.org/resource/Judson_B._Coit",1849-01-01
"http://dbpedia.org/resource/Sophie_Bryant",1850-01-01
"http://dbpedia.org/resource/William_Benjamin_Smith",1850-01-01
"http://dbpedia.org/resource/Francis_Robbins_Upton",1852-01-01
"http://dbpedia.org/resource/Bruno_Abakanowicz",1852-01-01
"http://dbpedia.org/resource/Evgraf_Fedorov",1853-01-01
"http://dbpedia.org/resource/Temistocle_Calzecchi-Onesti",1853-01-01
"http://dbpedia.org/resource/Paul_Dupuy",1856-01-01
"http://dbpedia.org/resource/Gabriel_Xavier_Paul_Koenigs",1858-01-01
"http://dbpedia.org/resource/Théodore_Reinach",1860-01-01
"http://dbpedia.org/resource/Agnes_Bell_Collier",1860-01-01
"http://dbpedia.org/resource/Alicia_Boole_Stott",1860-01-01
"http://dbpedia.org/resource/Thomas_Heath_(classicist)",1861-01-01
"http://dbpedia.org/resource/Alfred_North_Whitehead",1861-01-01
"http://dbpedia.org/resource/Ivar_Otto_Bendixson",1861-01-01
"http://dbpedia.org/resource/Margaret_Meyer",1862-01-01
"http://dbpedia.org/resource/Herbert_William_Richmond",1863-01-01
"http://dbpedia.org/resource/Kelly_Miller_(scientist)",1863-01-01
"http://dbpedia.org/resource/Domenico_Montesano",1863-01-01
"http://dbpedia.org/resource/E._W._Middlemast",1864-01-01
"http://dbpedia.org/resource/Vladimir_Varićak",1865-01-01
"http://dbpedia.org/resource/Charles_Proteus_Steinmetz",1865-01-01
"http://dbpedia.org/resource/Robert_William_Chapman_(engineer)",1866-01-01
"http://dbpedia.org/resource/Derrick_Norman_Lehmer",1867-01-01
"http://dbpedia.org/resource/Lawrence_Crawford_(mathematician)",1867-01-01
"http://dbpedia.org/resource/António_Cabreira",1868-01-01
"http://dbpedia.org/resource/Louis_Couturat",1868-01-01
"http://dbpedia.org/resource/James_Ireland_Craig",1868-01-01
"http://dbpedia.org/resource/Charles_L._Bouton",1869-01-01
"http://dbpedia.org/resource/Arthur_Korn",1870-01-01
"http://dbpedia.org/resource/Shirley_Jackson_Case",1872-01-01
"http://dbpedia.org/resource/Theodor_Haagaas",1873-01-01
"http://dbpedia.org/resource/Beatrice_Mabel_Cave-Browne-Cave",1874-01-01
"http://dbpedia.org/resource/Edward_Vermilye_Huntington",1874-01-01
"http://dbpedia.org/resource/Thomas_John_I'Anson_Bromwich",1875-01-01
"http://dbpedia.org/resource/Ganesh_Prasad",1876-01-01
"http://dbpedia.org/resource/Frances_Cave-Browne-Cave",1876-01-01
"http://dbpedia.org/resource/Ole_Michael_Ludvigsen_Selberg",1877-01-01
"http://dbpedia.org/resource/Anna_Cartan",1878-01-01
"http://dbpedia.org/resource/Louis_Charles_Karpinski",1878-01-01
"http://dbpedia.org/resource/Agner_Krarup_Erlang",1878-01-01
"http://dbpedia.org/resource/P._D._Ouspensky",1878-01-01
"http://dbpedia.org/resource/Władysław_Dziewulski",1878-01-01
"http://dbpedia.org/resource/George_Nugent_Merle_Tyrrell",1879-01-01
"http://dbpedia.org/resource/Giovanni_Giambelli",1879-01-01
"http://dbpedia.org/resource/Hilda_Phoebe_Hudson",1881-01-01
"http://dbpedia.org/resource/Pavel_Florensky",1882-01-01
"http://dbpedia.org/resource/Leo_Perutz",1882-01-01
"http://dbpedia.org/resource/Tadeusz_Banachiewicz",1882-01-01
"http://dbpedia.org/resource/Charles_Napoleon_Moore",1882-01-01
"http://dbpedia.org/resource/Gu_Deng",1882-01-01
"http://dbpedia.org/resource/Katia_Mann",1883-01-01
"http://dbpedia.org/resource/Klaus_Pringsheim_Sr.",1883-01-01
"http://dbpedia.org/resource/John_Raymond_Wilton",1884-01-01
"http://dbpedia.org/resource/Gaston_Bachelard",1884-01-01
"http://dbpedia.org/resource/Dilly_Knox",1884-01-01
"http://dbpedia.org/resource/Olga_Tsuberbiller",1885-01-01
"http://dbpedia.org/resource/Georges_Painvin",1886-01-01
"http://dbpedia.org/resource/Harald_Bohr",1887-01-01
"http://dbpedia.org/resource/William_Edward_Hodgson_Berwick",1888-01-01
"http://dbpedia.org/resource/William_Lloyd_Garrison_Williams",1888-01-01
"http://dbpedia.org/resource/Selig_Brodetsky",1888-01-01
"http://dbpedia.org/resource/Inayatullah_Khan_Mashriqi",1888-01-01
"http://dbpedia.org/resource/René_Gateaux",1889-01-01
"http://dbpedia.org/resource/Claribel_Kendall",1889-01-01
"http://dbpedia.org/resource/Ruth_Stokes",1890-01-01
"http://dbpedia.org/resource/Jiang_Lifu",1890-01-01
"http://dbpedia.org/resource/Fredrik_Lange-Nielsen",1891-01-01
"http://dbpedia.org/resource/Lester_S._Hill",1891-01-01
"http://dbpedia.org/resource/Ferenc_Farkas_de_Kisbarnak",1892-01-01
"http://dbpedia.org/resource/Xiong_Qinglai",1893-01-01
"http://dbpedia.org/resource/Debaprasad_Ghosh",1894-01-01
"http://dbpedia.org/resource/Warren_Weaver",1894-01-01
"http://dbpedia.org/resource/J._Ernest_Wilkins_Sr.",1894-01-01
"http://dbpedia.org/resource/Geneviève_Guitel",1895-01-01
"http://dbpedia.org/resource/Hans_Ferdinand_Mayer",1895-01-01
"http://dbpedia.org/resource/Ion_Barbu",1895-01-01
"http://dbpedia.org/resource/Ole_Peder_Arvesen",1895-01-01
"http://dbpedia.org/resource/Peng_Pai",1896-01-01
"http://dbpedia.org/resource/Vladimir_Vranić",1896-01-01
"http://dbpedia.org/resource/Yuri_Kondratyuk",1897-01-01
"http://dbpedia.org/resource/E._J._G._Pitman",1897-01-01
"http://dbpedia.org/resource/John_G._Bennett",1897-01-01
"http://dbpedia.org/resource/Angelina_Cabras",1898-01-01
"http://dbpedia.org/resource/Herbert_Marcuse",1898-01-01
"http://dbpedia.org/resource/Otakar_Borůvka",1899-01-01
"http://dbpedia.org/resource/Otto_E._Neugebauer",1899-01-01
"http://dbpedia.org/resource/Marie_Litzinger",1899-01-01
"http://dbpedia.org/resource/Rosalind_Tanner",1900-01-01
"http://dbpedia.org/resource/Ida_Rhodes",1900-01-01
"http://dbpedia.org/resource/Bento_de_Jesus_Caraça",1901-01-01
"http://dbpedia.org/resource/Zélie_Lardé",1901-01-01
"http://dbpedia.org/resource/Grete_Hermann",1901-01-01
"http://dbpedia.org/resource/Wolfgang_Cramer",1901-01-01
"http://dbpedia.org/resource/Edna_Kramer",1902-01-01
"http://dbpedia.org/resource/Wolfgang_Haack",1902-01-01
"http://dbpedia.org/resource/John_Riordan_(mathematician)",1903-01-01
"http://dbpedia.org/resource/Frank_Ramsey_(mathematician)",1903-01-01
"http://dbpedia.org/resource/Arno_Wolle",1903-01-01
"http://dbpedia.org/resource/Lyudmila_Keldysh",1904-01-01
"http://dbpedia.org/resource/Jean_Coulomb",1904-01-01
"http://dbpedia.org/resource/Semyon_Belozyorov",1904-01-01
"http://dbpedia.org/resource/René_de_Possel",1905-01-01
"http://dbpedia.org/resource/D._R._Kaprekar",1905-01-01
"http://dbpedia.org/resource/Ludomir_Danilewicz",1905-01-01
"http://dbpedia.org/resource/Mary_Clem",1905-01-01
"http://dbpedia.org/resource/Käte_Fenchel",1905-01-01
